eval_row_id,article_key,gold_epu,disagreement_flag,filler_family,target_position,google/gemini-3.1-pro-preview__long,google/gemini-3.1-pro-preview__medium,google/gemini-3.1-pro-preview__short
Current_319__fv0__center,Current_319,1,1,civic_notices,center,0.0,0.0,0.0
Current_320__fv0__center,Current_320,1,0,transit_summaries,center,0.0,0.0,0.0
Current_326__fv0__center,Current_326,1,0,archive_boilerplate,center,1.0,0.0,0.0
Current_32__fv0__center,Current_32,1,1,civic_notices,center,0.0,0.0,0.0
Current_341__fv0__center,Current_341,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_34__fv0__center,Current_34,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_353__fv0__center,Current_353,0,1,transit_summaries,center,1.0,1.0,1.0
Current_363__fv0__center,Current_363,0,1,archive_boilerplate,center,1.0,1.0,1.0
Current_371__fv0__center,Current_371,0,0,civic_notices,center,1.0,1.0,1.0
Current_378__fv0__center,Current_378,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_379__fv0__center,Current_379,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_380__fv0__center,Current_380,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_381__fv0__center,Current_381,1,0,transit_summaries,center,1.0,0.0,1.0
Current_38__fv0__center,Current_38,0,0,transit_summaries,center,0.0,0.0,0.0
Current_399__fv0__center,Current_399,0,0,civic_notices,center,1.0,1.0,1.0
Current_411__fv0__center,Current_411,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_414__fv0__center,Current_414,1,1,archive_boilerplate,center,1.0,1.0,1.0
Current_430__fv0__center,Current_430,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_437__fv0__center,Current_437,0,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_438__fv0__center,Current_438,0,0,encyclopedia_neutral,center,1.0,0.0,0.0
Current_451__fv0__center,Current_451,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_453__fv0__center,Current_453,1,1,transit_summaries,center,0.0,0.0,0.0
Current_456__fv0__center,Current_456,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_459__fv0__center,Current_459,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_461__fv0__center,Current_461,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_465__fv0__center,Current_465,1,1,transit_summaries,center,1.0,1.0,1.0
Current_480__fv0__center,Current_480,0,0,civic_notices,center,0.0,0.0,0.0
Current_481__fv0__center,Current_481,1,0,transit_summaries,center,0.0,0.0,0.0
Current_486__fv0__center,Current_486,0,0,civic_notices,center,1.0,1.0,1.0
Current_487__fv0__center,Current_487,0,0,civic_notices,center,1.0,1.0,1.0
Current_491__fv0__center,Current_491,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_493__fv0__center,Current_493,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_501__fv0__center,Current_501,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_502__fv0__center,Current_502,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_505__fv0__center,Current_505,0,0,civic_notices,center,1.0,1.0,1.0
Current_50__fv0__center,Current_50,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_510__fv0__center,Current_510,0,0,transit_summaries,center,1.0,1.0,1.0
Current_516__fv0__center,Current_516,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_51__fv0__center,Current_51,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_521__fv0__center,Current_521,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_523__fv0__center,Current_523,1,1,catalog_metadata,center,1.0,1.0,1.0
Current_524__fv0__center,Current_524,1,1,civic_notices,center,0.0,1.0,1.0
Current_526__fv0__center,Current_526,1,0,transit_summaries,center,1.0,1.0,1.0
Current_528__fv0__center,Current_528,1,1,civic_notices,center,0.0,0.0,0.0
Current_530__fv0__center,Current_530,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_534__fv0__center,Current_534,0,0,civic_notices,center,0.0,0.0,0.0
Current_537__fv0__center,Current_537,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_544__fv0__center,Current_544,1,0,archive_boilerplate,center,1.0,1.0,1.0
Current_548__fv0__center,Current_548,1,0,civic_notices,center,1.0,1.0,1.0
Current_552__fv0__center,Current_552,0,0,transit_summaries,center,1.0,1.0,1.0
Current_556__fv0__center,Current_556,0,1,archive_boilerplate,center,0.0,0.0,0.0
Current_557__fv0__center,Current_557,0,1,archive_boilerplate,center,1.0,1.0,1.0
Current_558__fv0__center,Current_558,0,0,civic_notices,center,1.0,1.0,1.0
Current_55__fv0__center,Current_55,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_560__fv0__center,Current_560,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_562__fv0__center,Current_562,0,1,catalog_metadata,center,1.0,1.0,1.0
Current_564__fv0__center,Current_564,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_575__fv0__center,Current_575,0,0,transit_summaries,center,1.0,1.0,1.0
Current_582__fv0__center,Current_582,0,0,transit_summaries,center,1.0,1.0,1.0
Current_583__fv0__center,Current_583,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_59__fv0__center,Current_59,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_616__fv0__center,Current_616,1,1,catalog_metadata,center,1.0,0.0,1.0
Current_618__fv0__center,Current_618,1,1,archive_boilerplate,center,1.0,1.0,1.0
Current_622__fv0__center,Current_622,1,1,transit_summaries,center,0.0,0.0,0.0
Current_628__fv0__center,Current_628,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_629__fv0__center,Current_629,0,0,transit_summaries,center,1.0,1.0,1.0
Current_636__fv0__center,Current_636,1,1,civic_notices,center,0.0,0.0,0.0
Current_639__fv0__center,Current_639,0,0,civic_notices,center,1.0,1.0,1.0
Current_646__fv0__center,Current_646,1,0,archive_boilerplate,center,0.0,1.0,0.0
Current_653__fv0__center,Current_653,0,0,civic_notices,center,1.0,1.0,1.0
Current_654__fv0__center,Current_654,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_657__fv0__center,Current_657,1,1,transit_summaries,center,0.0,0.0,0.0
Current_676__fv0__center,Current_676,0,0,civic_notices,center,1.0,1.0,1.0
Current_679__fv0__center,Current_679,1,0,civic_notices,center,0.0,0.0,0.0
Current_67__fv0__center,Current_67,0,0,transit_summaries,center,1.0,1.0,1.0
Current_682__fv0__center,Current_682,0,0,transit_summaries,center,1.0,1.0,1.0
Current_689__fv0__center,Current_689,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_703__fv0__center,Current_703,0,0,civic_notices,center,1.0,0.0,1.0
Current_704__fv0__center,Current_704,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_708__fv0__center,Current_708,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_70__fv0__center,Current_70,1,0,civic_notices,center,0.0,0.0,0.0
Current_71__fv0__center,Current_71,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_728__fv0__center,Current_728,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_733__fv0__center,Current_733,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_738__fv0__center,Current_738,1,1,transit_summaries,center,0.0,0.0,0.0
Current_73__fv0__center,Current_73,1,0,civic_notices,center,0.0,0.0,0.0
Current_741__fv0__center,Current_741,1,1,encyclopedia_neutral,center,1.0,1.0,1.0
Current_748__fv0__center,Current_748,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_74__fv0__center,Current_74,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_752__fv0__center,Current_752,1,1,transit_summaries,center,0.0,0.0,0.0
Current_765__fv0__center,Current_765,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_767__fv0__center,Current_767,1,0,catalog_metadata,center,0.0,0.0,0.0
Current_769__fv0__center,Current_769,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_774__fv0__center,Current_774,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_77__fv0__center,Current_77,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_780__fv0__center,Current_780,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_788__fv0__center,Current_788,0,0,civic_notices,center,1.0,1.0,1.0
Current_79__fv0__center,Current_79,0,0,civic_notices,center,1.0,1.0,1.0
Current_7__fv0__center,Current_7,0,1,catalog_metadata,center,1.0,0.0,1.0
Current_808__fv0__center,Current_808,0,0,catalog_metadata,center,0.0,0.0,0.0
Current_80__fv0__center,Current_80,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_814__fv0__center,Current_814,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_815__fv0__center,Current_815,0,0,civic_notices,center,1.0,1.0,1.0
Current_823__fv0__center,Current_823,1,1,transit_summaries,center,1.0,1.0,1.0
Current_830__fv0__center,Current_830,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_835__fv0__center,Current_835,1,0,catalog_metadata,center,0.0,1.0,0.0
Current_837__fv0__center,Current_837,0,0,archive_boilerplate,center,0.0,1.0,1.0
Current_840__fv0__center,Current_840,1,1,transit_summaries,center,1.0,1.0,1.0
Current_842__fv0__center,Current_842,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_848__fv0__center,Current_848,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_852__fv0__center,Current_852,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_854__fv0__center,Current_854,1,1,transit_summaries,center,1.0,1.0,1.0
Current_862__fv0__center,Current_862,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_868__fv0__center,Current_868,0,0,civic_notices,center,1.0,1.0,1.0
Current_874__fv0__center,Current_874,1,1,archive_boilerplate,center,0.0,0.0,0.0
Current_875__fv0__center,Current_875,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_876__fv0__center,Current_876,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_878__fv0__center,Current_878,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_882__fv0__center,Current_882,1,1,transit_summaries,center,1.0,1.0,1.0
Current_883__fv0__center,Current_883,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_891__fv0__center,Current_891,0,0,archive_boilerplate,center,1.0,1.0,1.0
Current_892__fv0__center,Current_892,1,0,civic_notices,center,1.0,1.0,1.0
Current_894__fv0__center,Current_894,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_89__fv0__center,Current_89,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Current_8__fv0__center,Current_8,1,1,civic_notices,center,0.0,0.0,0.0
Current_906__fv0__center,Current_906,0,0,transit_summaries,center,1.0,1.0,1.0
Current_909__fv0__center,Current_909,0,0,transit_summaries,center,1.0,1.0,1.0
Current_910__fv0__center,Current_910,0,0,civic_notices,center,1.0,1.0,1.0
Current_915__fv0__center,Current_915,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_918__fv0__center,Current_918,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_91__fv0__center,Current_91,0,0,transit_summaries,center,1.0,1.0,1.0
Current_928__fv0__center,Current_928,0,0,transit_summaries,center,1.0,1.0,1.0
Current_931__fv0__center,Current_931,0,0,transit_summaries,center,1.0,1.0,1.0
Current_935__fv0__center,Current_935,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_936__fv0__center,Current_936,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_940__fv0__center,Current_940,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Current_941__fv0__center,Current_941,0,0,catalog_metadata,center,1.0,1.0,1.0
Current_942__fv0__center,Current_942,1,0,civic_notices,center,1.0,1.0,1.0
Current_946__fv0__center,Current_946,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_950__fv0__center,Current_950,1,1,civic_notices,center,0.0,0.0,0.0
Current_961__fv0__center,Current_961,0,1,archive_boilerplate,center,1.0,1.0,1.0
Current_963__fv0__center,Current_963,1,1,civic_notices,center,0.0,0.0,0.0
Current_966__fv0__center,Current_966,1,1,catalog_metadata,center,0.0,0.0,0.0
Current_967__fv0__center,Current_967,1,0,catalog_metadata,center,1.0,1.0,1.0
Current_972__fv0__center,Current_972,0,1,archive_boilerplate,center,1.0,1.0,1.0
Current_973__fv0__center,Current_973,0,1,catalog_metadata,center,1.0,1.0,1.0
Current_984__fv0__center,Current_984,1,0,archive_boilerplate,center,1.0,1.0,0.0
Current_98__fv0__center,Current_98,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_992__fv0__center,Current_992,0,1,catalog_metadata,center,1.0,1.0,1.0
Current_994__fv0__center,Current_994,1,1,encyclopedia_neutral,center,0.0,0.0,0.0
Current_998__fv0__center,Current_998,0,1,transit_summaries,center,1.0,1.0,1.0
Midcentury_1078__fv0__center,Midcentury_1078,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_1120__fv0__center,Midcentury_1120,0,0,archive_boilerplate,center,0.0,1.0,0.0
Midcentury_1175__fv0__center,Midcentury_1175,0,0,catalog_metadata,center,0.0,0.0,0.0
Midcentury_1259__fv0__center,Midcentury_1259,1,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_1448__fv0__center,Midcentury_1448,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_1465__fv0__center,Midcentury_1465,0,0,archive_boilerplate,center,0.0,0.0,1.0
Midcentury_1505__fv0__center,Midcentury_1505,1,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_1585__fv0__center,Midcentury_1585,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_1634__fv0__center,Midcentury_1634,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_1758__fv0__center,Midcentury_1758,1,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_1780__fv0__center,Midcentury_1780,0,0,civic_notices,center,0.0,0.0,0.0
Midcentury_1885__fv0__center,Midcentury_1885,0,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_1947__fv0__center,Midcentury_1947,0,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_200__fv0__center,Midcentury_200,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_2037__fv0__center,Midcentury_2037,0,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_2064__fv0__center,Midcentury_2064,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_2102__fv0__center,Midcentury_2102,0,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_2134__fv0__center,Midcentury_2134,0,0,catalog_metadata,center,0.0,0.0,0.0
Midcentury_2299__fv0__center,Midcentury_2299,1,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_2398__fv0__center,Midcentury_2398,0,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_2443__fv0__center,Midcentury_2443,1,0,catalog_metadata,center,0.0,0.0,0.0
Midcentury_2467__fv0__center,Midcentury_2467,1,0,transit_summaries,center,0.0,1.0,0.0
Midcentury_2529__fv0__center,Midcentury_2529,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_2604__fv0__center,Midcentury_2604,1,0,civic_notices,center,1.0,1.0,1.0
Midcentury_2628__fv0__center,Midcentury_2628,1,0,civic_notices,center,1.0,1.0,1.0
Midcentury_2633__fv0__center,Midcentury_2633,0,0,catalog_metadata,center,0.0,1.0,1.0
Midcentury_2675__fv0__center,Midcentury_2675,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_2729__fv0__center,Midcentury_2729,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_2735__fv0__center,Midcentury_2735,0,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_2799__fv0__center,Midcentury_2799,1,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_2987__fv0__center,Midcentury_2987,1,0,transit_summaries,center,0.0,0.0,0.0
Midcentury_3098__fv0__center,Midcentury_3098,1,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_3106__fv0__center,Midcentury_3106,0,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_3349__fv0__center,Midcentury_3349,0,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_3411__fv0__center,Midcentury_3411,1,0,encyclopedia_neutral,center,0.0,0.0,0.0
Midcentury_3550__fv0__center,Midcentury_3550,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_3685__fv0__center,Midcentury_3685,1,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_39__fv0__center,Midcentury_39,1,0,archive_boilerplate,center,0.0,0.0,0.0
Midcentury_4045__fv0__center,Midcentury_4045,1,0,transit_summaries,center,0.0,0.0,0.0
Midcentury_4056__fv0__center,Midcentury_4056,0,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_4069__fv0__center,Midcentury_4069,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_4112__fv0__center,Midcentury_4112,0,0,encyclopedia_neutral,center,1.0,0.0,0.0
Midcentury_4158__fv0__center,Midcentury_4158,0,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_4357__fv0__center,Midcentury_4357,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_4517__fv0__center,Midcentury_4517,1,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_4538__fv0__center,Midcentury_4538,0,0,catalog_metadata,center,0.0,0.0,0.0
Midcentury_4616__fv0__center,Midcentury_4616,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_4695__fv0__center,Midcentury_4695,0,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_4746__fv0__center,Midcentury_4746,1,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_4882__fv0__center,Midcentury_4882,0,0,transit_summaries,center,0.0,0.0,0.0
Midcentury_4968__fv0__center,Midcentury_4968,1,0,civic_notices,center,0.0,1.0,1.0
Midcentury_4991__fv0__center,Midcentury_4991,1,0,transit_summaries,center,0.0,0.0,0.0
Midcentury_5069__fv0__center,Midcentury_5069,1,0,transit_summaries,center,0.0,0.0,0.0
Midcentury_5094__fv0__center,Midcentury_5094,1,0,archive_boilerplate,center,0.0,0.0,1.0
Midcentury_5310__fv0__center,Midcentury_5310,1,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_5357__fv0__center,Midcentury_5357,1,0,transit_summaries,center,1.0,1.0,0.0
Midcentury_5437__fv0__center,Midcentury_5437,0,0,archive_boilerplate,center,0.0,0.0,0.0
Midcentury_5457__fv0__center,Midcentury_5457,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_5469__fv0__center,Midcentury_5469,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_5607__fv0__center,Midcentury_5607,0,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_5760__fv0__center,Midcentury_5760,0,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_5796__fv0__center,Midcentury_5796,1,1,civic_notices,center,1.0,1.0,1.0
Midcentury_5965__fv0__center,Midcentury_5965,1,0,civic_notices,center,1.0,1.0,1.0
Midcentury_6075__fv0__center,Midcentury_6075,0,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_6092__fv0__center,Midcentury_6092,0,0,civic_notices,center,0.0,0.0,0.0
Midcentury_6230__fv0__center,Midcentury_6230,0,0,archive_boilerplate,center,1.0,0.0,1.0
Midcentury_6239__fv0__center,Midcentury_6239,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_6247__fv0__center,Midcentury_6247,0,0,encyclopedia_neutral,center,0.0,0.0,0.0
Midcentury_6461__fv0__center,Midcentury_6461,0,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_6605__fv0__center,Midcentury_6605,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_6708__fv0__center,Midcentury_6708,1,0,archive_boilerplate,center,0.0,0.0,0.0
Midcentury_6739__fv0__center,Midcentury_6739,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_6855__fv0__center,Midcentury_6855,0,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_6876__fv0__center,Midcentury_6876,0,0,encyclopedia_neutral,center,0.0,0.0,0.0
Midcentury_6925__fv0__center,Midcentury_6925,1,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_7054__fv0__center,Midcentury_7054,1,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_7130__fv0__center,Midcentury_7130,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_7302__fv0__center,Midcentury_7302,0,0,civic_notices,center,0.0,0.0,0.0
Midcentury_7369__fv0__center,Midcentury_7369,0,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_7466__fv0__center,Midcentury_7466,1,0,civic_notices,center,1.0,1.0,1.0
Midcentury_7510__fv0__center,Midcentury_7510,0,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_7530__fv0__center,Midcentury_7530,0,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_7569__fv0__center,Midcentury_7569,1,0,civic_notices,center,0.0,0.0,0.0
Midcentury_7618__fv0__center,Midcentury_7618,1,0,archive_boilerplate,center,1.0,1.0,0.0
Midcentury_7729__fv0__center,Midcentury_7729,1,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_7857__fv0__center,Midcentury_7857,0,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_7864__fv0__center,Midcentury_7864,1,0,transit_summaries,center,0.0,0.0,0.0
Midcentury_7944__fv0__center,Midcentury_7944,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_7951__fv0__center,Midcentury_7951,0,0,civic_notices,center,1.0,1.0,1.0
Midcentury_8062__fv0__center,Midcentury_8062,0,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_8077__fv0__center,Midcentury_8077,0,0,catalog_metadata,center,1.0,1.0,1.0
Midcentury_8240__fv0__center,Midcentury_8240,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_8445__fv0__center,Midcentury_8445,0,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_8545__fv0__center,Midcentury_8545,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_8657__fv0__center,Midcentury_8657,1,0,civic_notices,center,0.0,0.0,0.0
Midcentury_8690__fv0__center,Midcentury_8690,0,0,transit_summaries,center,1.0,1.0,1.0
Midcentury_8722__fv0__center,Midcentury_8722,1,0,encyclopedia_neutral,center,1.0,1.0,1.0
Midcentury_898__fv0__center,Midcentury_898,0,0,archive_boilerplate,center,1.0,1.0,1.0
Midcentury_991__fv0__center,Midcentury_991,0,0,encyclopedia_neutral,center,0.0,0.0,0.0
