article_key,llm_name,gold_epu,disagreement_flag,single_acc,single_long_control_acc,primary_first_acc,primary_last_acc,primary_first_pred,primary_last_pred,order_flip
Midcentury_7569,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_840,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1795,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_292,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,0.0,1.0,1,0.0,1
Midcentury_6605,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Midcentury_7618,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_79,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_8077,openai/gpt-5.4-2026-03-05,0,0,0.0,1.0,0.0,1.0,1,0.0,1
Current_654,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Midcentury_4968,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1196,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1953,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_733,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1975,openai/gpt-5.4-2026-03-05,1,0,1.0,0.0,0.0,0.0,0,0.0,0
Current_814,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1650,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_1448,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1898,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_125,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,0.0,1,0.0,1
Current_32,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_7951,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_523,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1945,openai/gpt-5.4-2026-03-05,0,0,1.0,0.0,1.0,1.0,0,0.0,0
Current_199,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1857,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,0.0,1,0.0,1
Current_411,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_689,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1424,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1608,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_38,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1502,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_892,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_1552,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_882,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1209,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_34,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1157,openai/gpt-5.4-2026-03-05,0,1,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_2037,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_100,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_501,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_320,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_191,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_134,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_6247,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,1.0,1,0.0,1
Current_868,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1447,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Current_438,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_8062,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_6230,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_928,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_502,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1074,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1824,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_414,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_984,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_27,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,1.0,0.0,0,1.0,1
Current_994,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,0.0,1,0.0,1
Current_272,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_77,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_289,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_284,openai/gpt-5.4-2026-03-05,0,1,1.0,0.0,0.0,1.0,1,0.0,1
Current_704,openai/gpt-5.4-2026-03-05,0,0,0.0,1.0,1.0,1.0,0,0.0,0
Current_1279,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Current_1560,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,0.0,1,0.0,1
Midcentury_3685,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1031,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_246,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_237,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_7466,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_239,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_769,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_940,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_98,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_7864,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_73,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,0.0,1,0.0,1
Midcentury_7130,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_465,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_972,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_326,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_184,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1861,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_618,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1470,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1791,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1962,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_918,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1403,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_556,openai/gpt-5.4-2026-03-05,0,1,0.0,0.0,0.0,0.0,1,1.0,0
Current_876,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_256,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_491,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1647,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_5796,openai/gpt-5.4-2026-03-05,1,1,0.0,1.0,1.0,0.0,1,0.0,1
Current_1271,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1269,openai/gpt-5.4-2026-03-05,1,0,1.0,0.0,1.0,0.0,1,0.0,1
Current_505,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_2529,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1490,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_2628,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1664,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_157,openai/gpt-5.4-2026-03-05,0,0,1.0,0.0,0.0,1.0,1,0.0,1
Current_264,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1210,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_91,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1162,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1359,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1622,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Midcentury_7530,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_7,openai/gpt-5.4-2026-03-05,0,1,0.0,0.0,1.0,1.0,0,0.0,0
Current_306,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1851,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1373,openai/gpt-5.4-2026-03-05,0,0,1.0,0.0,0.0,1.0,1,0.0,1
Midcentury_6075,openai/gpt-5.4-2026-03-05,0,0,0.0,1.0,0.0,1.0,1,0.0,1
Current_1449,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1443,openai/gpt-5.4-2026-03-05,1,1,1.0,0.0,1.0,1.0,1,1.0,0
Current_1997,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1585,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_558,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_4056,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1452,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1661,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_961,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_521,openai/gpt-5.4-2026-03-05,1,1,0.0,1.0,1.0,0.0,1,0.0,1
Current_1398,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1095,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_1505,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_1681,openai/gpt-5.4-2026-03-05,0,1,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_2398,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_3106,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_562,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_657,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_371,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1667,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_1009,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_5357,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_891,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1301,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_80,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1331,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1655,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_153,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_4882,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1099,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_22,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Midcentury_5069,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Midcentury_6461,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,1.0,1,0.0,1
Current_1224,openai/gpt-5.4-2026-03-05,1,0,1.0,0.0,0.0,1.0,0,1.0,1
Current_992,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_8722,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1539,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_906,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_378,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_456,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_1233,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1314,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_622,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_973,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_1248,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_676,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_8690,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1022,openai/gpt-5.4-2026-03-05,1,0,1.0,0.0,1.0,0.0,1,0.0,1
Current_380,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1706,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_493,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_560,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1148,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1212,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_50,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_71,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1367,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,0.0,1,0.0,1
Midcentury_6876,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_991,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Midcentury_1120,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_399,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_616,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1866,openai/gpt-5.4-2026-03-05,0,0,1.0,0.0,0.0,1.0,1,0.0,1
Current_1285,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,1.0,1,0.0,1
Current_1939,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Current_341,openai/gpt-5.4-2026-03-05,1,1,1.0,0.0,1.0,0.0,1,0.0,1
Midcentury_2735,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_963,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Midcentury_7857,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_874,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_780,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_653,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_629,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1610,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_430,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_748,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,0.0,1,0.0,1
Current_909,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1333,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Midcentury_2987,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,0.0,0.0,0,0.0,0
Current_1270,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Current_226,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_461,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Midcentury_7054,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1036,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,0.0,1,0.0,1
Current_931,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1332,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,0.0,0.0,0,0.0,0
Current_1152,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_1456,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_1365,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_15,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_381,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1400,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1113,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1267,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_1756,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1379,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1064,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_205,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,1.0,1,0.0,1
Current_728,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1915,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1455,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_261,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1506,openai/gpt-5.4-2026-03-05,1,1,1.0,1.0,1.0,1.0,1,1.0,0
Current_1346,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1983,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Midcentury_1175,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_1155,openai/gpt-5.4-2026-03-05,0,1,0.0,0.0,0.0,1.0,1,0.0,1
Current_510,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_107,openai/gpt-5.4-2026-03-05,0,1,1.0,1.0,1.0,1.0,0,0.0,0
Current_2029,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,1.0,1,0.0,1
Current_59,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1634,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_1474,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Current_548,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,0.0,1,0.0,1
Current_70,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,0.0,0.0,0,0.0,0
Current_639,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1182,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1750,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_942,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Midcentury_2102,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1730,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_564,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_7369,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,0.0,1.0,1,0.0,1
Current_480,openai/gpt-5.4-2026-03-05,0,0,0.0,0.0,0.0,0.0,1,1.0,0
Current_998,openai/gpt-5.4-2026-03-05,0,1,0.0,1.0,0.0,1.0,1,0.0,1
Midcentury_4991,openai/gpt-5.4-2026-03-05,1,0,0.0,0.0,1.0,0.0,1,0.0,1
Current_575,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_774,openai/gpt-5.4-2026-03-05,1,1,0.0,0.0,0.0,0.0,0,0.0,0
Current_2027,openai/gpt-5.4-2026-03-05,1,0,1.0,0.0,1.0,0.0,1,0.0,1
Current_1230,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_6925,openai/gpt-5.4-2026-03-05,1,0,1.0,1.0,1.0,1.0,1,1.0,0
Midcentury_7944,openai/gpt-5.4-2026-03-05,0,0,1.0,0.0,0.0,1.0,1,0.0,1
Current_1842,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Midcentury_1078,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
Current_1806,openai/gpt-5.4-2026-03-05,0,0,1.0,1.0,1.0,1.0,0,0.0,0
